t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0,-15,1,4,-0,0,-0.50856,0.86102,0,0,0,0,0,0,0,0,0,0,0,0,5.6534,6.6049,6.5992,5.659,0,0,0,78.29,-144.07,41.737
0.01,-15,1,4,0.00020485,0.00034993,-0.50856,0.86102,1.293e-05,-2.3377e-05,6.6613e-06,-0.0013934,0.15972,-3.1294e-07,0.0038668,-0.0069512,0.0019696,0,0,0,5.7095,6.5514,6.5714,5.6891,0.76838,-1.3657,0.38252,75.302,-129.35,34.9
0.02,-15,1,4,0.00078249,0.0013651,-0.50856,0.86102,0.00010243,-0.00018217,5.1037e-05,-0.0067364,0.30511,-4.3407e-06,0.01526,-0.026851,0.0074355,0,0,0,5.7623,6.5069,6.5444,5.7216,1.5045,-2.5924,0.70053,71.84,-116.25,28.824
0.03,-15,1,4,0.0016832,0.0029944,-0.50856,0.86102,0.00034207,-0.00059917,0.00016499,-0.014856,0.43712,-1.8863e-05,0.033834,-0.058388,0.01579,0,0,0,5.8119,6.4708,6.5181,5.7557,2.2038,-3.6957,0.96135,67.967,-104.63,23.451
0.04,-15,0.99999,4,0.002919,0.0051576,-0.49948,0.8663,0.00080175,-0.0013848,0.00037466,-0.012996,0.5571,-5.0598e-05,0.059201,-0.1004,0.026494,0,0,0,5.8508,6.4498,6.4866,5.7972,2.8626,-4.6895,1.1717,63.747,-94.353,18.721
0.05,-15,0.99997,4,0.0043954,0.0078398,-0.49706,0.86767,0.0015473,-0.0026386,0.00070113,-0.017668,0.6655,-0.00010346,0.090941,-0.15186,0.039076,0,0,0,5.8926,6.4292,6.4619,5.8344,3.4778,-5.5867,1.3377,59.243,-85.289,14.574
0.06,-15,0.99993,4,0.0061066,0.010981,-0.49484,0.86889,0.0026403,-0.0044504,0.001161,-0.021849,0.76336,-0.00017685,0.1286,-0.21185,0.053119,0,0,0,5.9313,6.4136,6.4395,5.8726,4.0468,-6.3989,1.4649,54.521,-77.303,10.952
0.07,-15,0.99988,4,0.0080285,0.014537,-0.49282,0.86997,0.0041376,-0.0069014,0.0017672,-0.025146,0.85145,-0.00026487,0.17172,-0.27958,0.068262,0,0,0,5.9669,6.4019,6.42,5.912,4.5677,-7.136,1.5583,49.645,-70.26,7.794
0.08,-15,0.99979,4.0001,0.010141,0.018464,-0.49099,0.87091,0.0060912,-0.010066,0.0025289,-0.027247,0.93049,-0.0003564,0.21979,-0.35435,0.084187,0,0,0,5.9992,6.3929,6.4037,5.9531,5.0394,-7.8068,1.6222,44.677,-64.025,5.0418
0.09,-15,0.99967,4.0001,0.012426,0.022722,-0.48935,0.8717,0.0085483,-0.01401,0.0034526,-0.027934,1.0011,-0.00043585,0.27234,-0.43552,0.10062,0,0,0,6.0284,6.3857,6.3912,5.996,5.4612,-8.4187,1.6603,39.683,-58.465,2.6356
0.1,-15,0.99951,4.0001,0.014869,0.027272,-0.48789,0.87235,0.011551,-0.018795,0.0045422,-0.027078,1.0639,-0.00048459,0.32885,-0.52255,0.11732,0,0,0,6.0547,6.3795,6.3827,6.0409,5.8331,-8.9779,1.6758,34.725,-53.444,0.51627
0.11,-15,0.99929,4.0002,0.017457,0.032079,-0.48661,0.87286,0.015137,-0.024479,0.0057991,-0.024646,1.1193,-0.00048284,0.38884,-0.61492,0.13407,0,0,0,6.0787,6.3737,6.3782,6.0875,6.156,-9.4889,1.6714,29.87,-48.828,-1.3757
0.12,-14.999,0.99902,4.0002,0.020177,0.037107,-0.48549,0.87322,0.019338,-0.03111,0.0072231,-0.020701,1.1677,-0.00041208,0.45181,-0.71218,0.15068,0,0,0,6.101,6.368,6.3778,6.1355,6.4311,-9.9553,1.6489,25.179,-44.483,-3.0997
0.13,-14.999,0.99867,4.0003,0.023019,0.042323,-0.48453,0.87345,0.024182,-0.038737,0.0088118,-0.015405,1.2095,-0.00025766,0.51731,-0.81388,0.16699,0,0,0,6.1228,6.3624,6.3808,6.1843,6.6604,-10.379,1.6097,20.718,-40.274,-4.7149
0.14,-14.999,0.99824,4.0004,0.025972,0.047696,-0.4837,0.87355,0.029691,-0.047401,0.010561,-0.0090168,1.2449,-1.1816e-05,0.58487,-0.91962,0.18283,0,0,0,6.1452,6.3573,6.3866,6.2327,6.8464,-10.761,1.5547,16.55,-36.066,-6.2809
0.15,-14.999,0.99772,4.0005,0.029023,0.053197,-0.48301,0.87351,0.035885,-0.057141,0.012466,-0.0018936,1.2743,0.00032355,0.6541,-1.029,0.19803,0,0,0,6.1698,6.3531,6.3942,6.2795,6.9925,-11.1,1.4841,12.73,-31.745,-7.8484
0.16,-14.998,0.99709,4.0007,0.03216,0.058797,-0.48244,0.87336,0.042777,-0.067991,0.014519,0.0055771,1.2977,0.00073785,0.7246,-1.1415,0.21246,0,0,0,6.1969,6.3506,6.4031,6.3241,7.1022,-11.395,1.3978,9.257,-27.307,-9.417
0.17,-14.998,0.99635,4.0008,0.03537,0.064472,-0.48196,0.8731,0.05038,-0.07998,0.016712,0.013059,1.3155,0.0012162,0.79603,-1.2567,0.22594,0,0,0,6.2266,6.3503,6.4126,6.3661,7.1787,-11.646,1.2958,6.1096,-22.792,-10.967
0.18,-14.997,0.99549,4.001,0.038639,0.070196,-0.48158,0.87273,0.0587,-0.093133,0.019035,0.020274,1.3279,0.0017411,0.86808,-1.3742,0.23832,0,0,0,6.2588,6.3524,6.4225,6.4053,7.2254,-11.851,1.1786,3.2656,-18.239,-12.479
0.19,-14.997,0.99448,4.0012,0.041953,0.075947,-0.48126,0.87227,0.067742,-0.10747,0.021475,0.027,1.3352,0.0022929,0.94045,-1.4936,0.24946,0,0,0,6.2933,6.3572,6.4325,6.4415,7.245,-12.011,1.0464,0.70329,-13.689,-13.934
0.2,-14.996,0.99333,4.0014,0.045297,0.081705,-0.48101,0.87172,0.077509,-0.12301,0.024019,0.033063,1.3377,0.0028514,1.0129,-1.6143,0.2592,0,0,0,6.3299,6.3649,6.4422,6.4745,7.2403,-12.125,0.90014,-1.5993,-9.1798,-15.311
0.21,-14.995,0.99202,4.0017,0.048659,0.08745,-0.4808,0.8711,0.088,-0.13976,0.026653,0.038338,1.3358,0.0033963,1.0852,-1.7359,0.26742,0,0,0,6.3682,6.3754,6.4517,6.5046,7.2138,-12.195,0.74053,-3.6641,-4.7522,-16.591
0.22,-14.994,0.99053,4.002,0.052025,0.093165,-0.48064,0.8704,0.099212,-0.15773,0.029362,0.04274,1.3298,0.0039085,1.1571,-1.858,0.27397,0,0,0,6.4077,6.3886,6.4607,6.5316,7.1677,-12.22,0.5687,-5.5129,-0.44552,-17.755
0.23,-14.993,0.98886,4.0023,0.055382,0.098834,-0.48049,0.86965,0.11114,-0.17692,0.032127,0.046226,1.32,0.004371,1.2285,-1.9802,0.27875,0,0,0,6.4481,6.4043,6.4694,6.556,7.1042,-12.204,0.38588,-7.1676,3.7005,-18.783
0.24,-14.992,0.98699,4.0026,0.058717,0.10444,-0.48037,0.86884,0.12378,-0.19733,0.034931,0.048791,1.3069,0.0047696,1.2991,-2.102,0.28166,0,0,0,6.4885,6.422,6.4778,6.5779,7.025,-12.147,0.19356,-8.6501,7.6464,-19.655
0.25,-14.991,0.98491,4.003,0.062022,0.10998,-0.48026,0.86799,0.13712,-0.21896,0.037754,0.050463,1.2907,0.0050944,1.3689,-2.223,0.2826,0,0,0,6.5285,6.4413,6.4861,6.5978,6.9317,-12.052,-0.0066279,-9.9822,11.352,-20.351
0.26,-14.989,0.98261,4.0034,0.065284,0.11544,-0.48016,0.8671,0.15115,-0.24179,0.040576,0.051305,1.2719,0.0053397,1.4377,-2.3429,0.28151,0,0,0,6.5672,6.4617,6.4946,6.6163,6.8257,-11.921,-0.21282,-11.186,14.779,-20.853
0.27,-14.988,0.98007,4.0038,0.068496,0.12081,-0.48005,0.86618,0.16587,-0.26581,0.043377,0.051412,1.2508,0.0055058,1.5054,-2.4613,0.27833,0,0,0,6.6039,6.4824,6.5037,6.6338,6.7083,-11.757,-0.42297,-12.283,17.886,-21.14
0.28,-14.986,0.97729,4.0042,0.071649,0.12607,-0.47995,0.86523,0.18126,-0.29101,0.046135,0.050912,1.2276,0.005599,1.5719,-2.578,0.27304,0,0,0,6.6377,6.5029,6.5137,6.6511,6.5804,-11.564,-0.63484,-13.295,20.635,-21.193
0.29,-14.984,0.97425,4.0047,0.074739,0.13123,-0.47984,0.86426,0.1973,-0.31736,0.048831,0.049959,1.2028,0.0056329,1.637,-2.6925,0.26564,0,0,0,6.6677,6.5223,6.5252,6.6689,6.4426,-11.346,-0.84599,-14.243,22.99,-20.995
0.3,-14.982,0.97094,4.0052,0.07776,0.13628,-0.47972,0.86328,0.21399,-0.34485,0.051441,0.048724,1.1767,0.005626,1.7007,-2.8048,0.25613,0,0,0,6.6938,6.5402,6.5381,6.6875,6.2957,-11.106,-1.0539,-15.133,24.959,-20.557
0.31,-14.98,0.96735,4.0057,0.080708,0.14121,-0.47959,0.86229,0.23131,-0.37345,0.053946,0.047359,1.1495,0.0055972,1.7629,-2.9146,0.24458,0,0,0,6.716,6.5565,6.5524,6.7067,6.1402,-10.848,-1.2564,-15.966,26.575,-19.907
0.32,-14.977,0.96346,4.0063,0.083583,0.14602,-0.47946,0.86129,0.24925,-0.40314,0.056326,0.045992,1.1214,0.0055652,1.8235,-3.0217,0.23103,0,0,0,6.7346,6.571,6.5679,6.7265,5.9766,-10.575,-1.4515,-16.74,27.869,-19.07
0.33,-14.975,0.95928,4.0069,0.086381,0.1507,-0.47931,0.86028,0.26778,-0.43388,0.058561,0.044734,1.0926,0.005547,1.8824,-3.1261,0.21558,0,0,0,6.7498,6.5836,6.5843,6.7468,5.8056,-10.292,-1.6373,-17.454,28.874,-18.073
0.34,-14.972,0.95478,4.0075,0.089104,0.15526,-0.47915,0.85928,0.28689,-0.46565,0.060632,0.043673,1.0634,0.0055587,1.9395,-3.2275,0.19832,0,0,0,6.7619,6.5944,6.6014,6.7674,5.6277,-9.9988,-1.8125,-18.109,29.621,-16.944
0.35,-14.969,0.94996,4.0081,0.091752,0.15969,-0.47899,0.85829,0.30656,-0.49842,0.062521,0.042879,1.0338,0.0056143,1.9949,-3.326,0.17937,0,0,0,6.7711,6.6034,6.619,6.7882,5.4436,-9.6999,-1.9758,-18.704,30.143,-15.709
0.36,-14.966,0.94481,4.0087,0.094324,0.16398,-0.47881,0.85729,0.32678,-0.53216,0.064214,0.042404,1.0039,0.0057258,2.0484,-3.4215,0.15884,0,0,0,6.7779,6.6107,6.6369,6.8088,5.2538,-9.3966,-2.1264,-19.238,30.472,-14.394
0.37,-14.962,0.93932,4.0094,0.096823,0.16815,-0.47863,0.85631,0.34752,-0.56684,0.065693,0.042282,0.97391,0.0059026,2.1,-3.5139,0.13688,0,0,0,6.7825,6.6165,6.6547,6.8292,5.059,-9.091,-2.2635,-19.711,30.639,-13.026
0.38,-14.959,0.93347,4.01,0.09925,0.17218,-0.47844,0.85534,0.36877,-0.60243,0.066947,0.042532,0.94381,0.0061516,2.1496,-3.6033,0.11362,0,0,0,6.7855,6.621,6.6722,6.8489,4.8598,-8.7843,-2.3868,-20.121,30.678,-11.632
0.39,-14.955,0.92727,4.0107,0.10161,0.17607,-0.47824,0.85438,0.39051,-0.63889,0.067962,0.043153,0.91367,0.0064764,2.1972,-3.6896,0.089194,0,0,0,6.7871,6.6245,6.6891,6.8678,4.6568,-8.4777,-2.4962,-20.469,30.62,-10.239
0.4,-14.951,0.92069,4.0114,0.10389,0.17983,-0.47805,0.85343,0.41271,-0.67621,0.068727,0.044131,0.88354,0.0068776,2.2427,-3.7729,0.063743,0,0,0,6.7879,6.6271,6.7051,6.8854,4.4506,-8.1721,-2.5917,-20.754,30.497,-8.8739
0.41,-14.947,0.91374,4.0121,0.10611,0.18346,-0.47785,0.85249,0.43535,-0.71434,0.069234,0.045437,0.85345,0.0073519,2.2862,-3.8531,0.037405,0,0,0,6.7883,6.6294,6.7198,6.9015,4.2419,-7.8679,-2.6738,-20.975,30.342,-7.5626
0.42,-14.942,0.9064,4.0128,0.10827,0.18694,-0.47765,0.85158,0.45842,-0.75326,0.069473,0.047024,0.8234,0.0078925,2.3275,-3.9302,0.010309,0,0,0,6.7889,6.6315,6.733,6.9156,4.0313,-7.5653,-2.7432,-21.132,30.186,-6.3321
0.43,-14.938,0.89867,4.0135,0.11036,0.19029,-0.47745,0.85068,0.4819,-0.79293,0.069438,0.04883,0.79341,0.0084883,2.3668,-4.0044,-0.01742,0,0,0,6.79,6.6339,6.7441,6.9273,3.8195,-7.2641,-2.8008,-21.224,30.06,-5.2078
0.44,-14.933,0.89054,4.0141,0.11239,0.19351,-0.47725,0.8498,0.50575,-0.83334,0.069123,0.050786,0.76347,0.0091253,2.4039,-4.0755,-0.045672,0,0,0,6.7919,6.6366,6.7532,6.9365,3.6071,-6.9639,-2.8477,-21.251,29.972,-4.1922
0.45,-14.927,0.882,4.0148,0.11435,0.19659,-0.47706,0.84893,0.52997,-0.87443,0.068523,0.052823,0.7336,0.0097894,2.4389,-4.1437,-0.074343,0,0,0,6.7946,6.6398,6.7602,6.9434,3.3947,-6.6645,-2.885,-21.215,29.913,-3.2701
0.46,-14.922,0.87305,4.0155,0.11625,0.19953,-0.47688,0.84809,0.55452,-0.9162,0.067635,0.054879,0.7038,0.010467,2.4718,-4.2088,-0.10334,0,0,0,6.7979,6.6434,6.7653,6.9478,3.183,-6.3656,-2.9134,-21.117,29.871,-2.4258
0.47,-14.916,0.86368,4.0162,0.11809,0.20234,-0.4767,0.84727,0.5794,-0.9586,0.066455,0.0569,0.67409,0.011144,2.5026,-4.271,-0.13258,0,0,0,6.8017,6.6473,6.7684,6.95,2.9726,-6.0671,-2.9337,-20.958,29.837,-1.6436
0.48,-14.91,0.85388,4.0168,0.11987,0.20502,-0.47653,0.84647,0.60457,-1.0016,0.064983,0.058835,0.64448,0.01181,2.5313,-4.3302,-0.16199,0,0,0,6.806,6.6514,6.7698,6.9501,2.764,-5.7689,-2.9464,-20.74,29.8,-0.9077
0.49,-14.904,0.84364,4.0175,0.12158,0.20757,-0.47637,0.8457,0.63002,-1.0452,0.063215,0.060641,0.61498,0.012453,2.5579,-4.3864,-0.19149,0,0,0,6.8106,6.6558,6.7694,6.948,2.558,-5.4711,-2.952,-20.462,29.749,-0.20251
0.5,-14.898,0.83297,4.0181,0.12323,0.20998,-0.47623,0.84494,0.65572,-1.0893,0.061153,0.06228,0.58562,0.013062,2.5824,-4.4396,-0.22101,0,0,0,6.8154,6.6603,6.7674,6.9441,2.355,-5.174,-2.9505,-20.128,29.674,0.48774
0.51,-14.891,0.82185,4.0187,0.12482,0.21226,-0.47609,0.84422,0.68166,-1.134,0.058795,0.06372,0.5564,0.013629,2.605,-4.4898,-0.25048,0,0,0,6.8203,6.6648,6.7638,6.9384,2.1556,-4.8777,-2.9422,-19.737,29.566,1.1787
0.52,-14.884,0.81029,4.0193,0.12634,0.21442,-0.47597,0.84351,0.70781,-1.1791,0.056144,0.064934,0.52735,0.014145,2.6256,-4.5371,-0.27983,0,0,0,6.8253,6.6693,6.7588,6.931,1.9604,-4.5828,-2.9269,-19.292,29.413,1.8862
0.53,-14.877,0.79827,4.0198,0.1278,0.21645,-0.47587,0.84283,0.73416,-1.2247,0.0532,0.065902,0.49847,0.014604,2.6442,-4.5815,-0.30899,0,0,0,6.8301,6.6736,6.7526,6.9222,1.7699,-4.2897,-2.9044,-18.793,29.205,2.6259
0.54,-14.869,0.78579,4.0203,0.12919,0.21835,-0.47578,0.84218,0.76069,-1.2707,0.049965,0.066607,0.4698,0.014999,2.661,-4.6229,-0.33789,0,0,0,6.8346,6.6777,6.7451,6.912,1.5847,-3.9989,-2.8742,-18.241,28.932,3.4135
0.55,-14.862,0.77285,4.0208,0.13052,0.22013,-0.47571,0.84155,0.78738,-1.3172,0.046443,0.067039,0.44133,0.015327,2.6759,-4.6615,-0.36645,0,0,0,6.8388,6.6815,6.7367,6.9007,1.4053,-3.7113,-2.8359,-17.638,28.583,4.2647
0.56,-14.854,0.75945,4.0213,0.13178,0.22179,-0.47565,0.84095,0.8142,-1.364,0.042637,0.067192,0.41308,0.015584,2.6891,-4.6972,-0.39458,0,0,0,6.8426,6.6848,6.7274,6.8884,1.2321,-3.4276,-2.7887,-16.984,28.148,5.1952
0.57,-14.845,0.74557,4.0217,0.13297,0.22334,-0.47561,0.84038,0.84115,-1.4111,0.038553,0.067067,0.38507,0.015768,2.7006,-4.7301,-0.42219,0,0,0,6.8458,6.6877,6.7174,6.8754,1.0658,-3.1487,-2.7317,-16.282,27.617,6.2202
0.58,-14.837,0.73123,4.022,0.13409,0.22476,-0.47559,0.83983,0.86821,-1.4585,0.034196,0.066666,0.3573,0.01588,2.7104,-4.7602,-0.44917,0,0,0,6.8484,6.6901,6.7068,6.8618,0.90666,-2.8755,-2.6639,-15.535,26.991,7.3373
0.59,-14.828,0.7164,4.0224,0.13514,0.22607,-0.47559,0.83931,0.89536,-1.5063,0.029572,0.065996,0.32978,0.015919,2.7188,-4.7876,-0.47543,0,0,0,6.8504,6.692,6.6958,6.8477,0.75519,-2.6091,-2.5847,-14.754,26.283,8.525
0.6,-14.819,0.7011,4.0226,0.13613,0.22727,-0.47561,0.83882,0.92258,-1.5543,0.02469,0.065062,0.30253,0.015886,2.7256,-4.8124,-0.50083,0,0,0,6.852,6.6935,6.6844,6.8332,0.61167,-2.3501,-2.4933,-13.945,25.507,9.7605
0.61,-14.81,0.68532,4.0229,0.13704,0.22835,-0.47564,0.83835,0.94986,-1.6025,0.019559,0.06387,0.27555,0.01578,2.731,-4.8346,-0.52525,0,0,0,6.8531,6.6946,6.6727,6.8184,0.47634,-2.0992,-2.3894,-13.119,24.677,11.021
0.62,-14.8,0.66905,4.023,0.13789,0.22932,-0.4757,0.83792,0.9772,-1.651,0.014189,0.062426,0.24884,0.015603,2.7351,-4.8544,-0.54857,0,0,0,6.8538,6.6954,6.6608,6.8035,0.34932,-1.8567,-2.2729,-12.284,23.808,12.284
0.63,-14.79,0.6523,4.0231,0.13866,0.23019,-0.47577,0.83751,1.0046,-1.6996,0.0085913,0.060739,0.22243,0.015355,2.738,-4.8718,-0.57067,0,0,0,6.8542,6.6961,6.6489,6.7884,0.23065,-1.6231,-2.1438,-11.45,22.912,13.526
0.64,-14.78,0.63506,4.0232,0.13936,0.23095,-0.47586,0.83713,1.032,-1.7484,0.0027798,0.058816,0.19631,0.015039,2.7398,-4.8869,-0.59141,0,0,0,6.8544,6.6965,6.6371,6.7735,0.12029,-1.3985,-2.0025,-10.624,22.005,14.726
0.65,-14.769,0.61733,4.0232,0.13999,0.23161,-0.47597,0.83678,1.0594,-1.7973,-0.0032319,0.056666,0.1705,0.014655,2.7405,-4.8998,-0.61068,0,0,0,6.8542,6.6968,6.6256,6.7588,0.01811,-1.183,-1.8495,-9.8164,21.099,15.859
0.66,-14.759,0.59911,4.0231,0.14055,0.23217,-0.4761,0.83646,1.0868,-1.8464,-0.0094285,0.054302,0.14501,0.014206,2.7402,-4.9106,-0.62836,0,0,0,6.8539,6.6971,6.6144,6.7445,-0.076123,-0.97647,-1.6856,-9.0355,20.209,16.904
0.67,-14.748,0.5804,4.023,0.14104,0.23263,-0.47625,0.83617,1.1142,-1.8955,-0.015794,0.051735,0.11987,0.013696,2.739,-4.9193,-0.64436,0,0,0,6.8534,6.6973,6.6037,6.7306,-0.16272,-0.77871,-1.5118,-8.2902,19.349,17.838
0.68,-14.736,0.5612,4.0228,0.14145,0.23299,-0.47642,0.8359,1.1415,-1.9448,-0.02231,0.048978,0.095078,0.013126,2.7369,-4.9262,-0.65857,0,0,0,6.8526,6.6976,6.5937,6.7174,-0.24208,-0.58934,-1.3293,-7.5895,18.533,18.637
0.69,-14.725,0.5415,4.0226,0.1418,0.23325,-0.4766,0.83567,1.1689,-1.9941,-0.028959,0.046048,0.07067,0.012501,2.7341,-4.9312,-0.67092,0,0,0,6.8518,6.6979,6.5845,6.7049,-0.31469,-0.40785,-1.1395,-6.9423,17.775,19.28
0.7,-14.713,0.52132,4.0222,0.14207,0.23342,-0.4768,0.83546,1.1962,-2.0434,-0.035722,0.042961,0.04666,0.011826,2.7307,-4.9344,-0.68134,0,0,0,6.8507,6.6982,6.5761,6.6932,-0.38113,-0.2336,-0.94427,-6.3574,17.088,19.743
0.71,-14.701,0.50064,4.0218,0.14227,0.2335,-0.47701,0.83528,1.2235,-2.0927,-0.042579,0.039735,0.023069,0.011105,2.7265,-4.9358,-0.68979,0,0,0,6.8495,6.6986,6.5687,6.6826,-0.44207,-0.065798,-0.74536,-5.8437,16.487,20.004
0.72,-14.689,0.47946,4.0214,0.1424,0.23349,-0.47725,0.83513,1.2507,-2.1421,-0.049511,0.036392,-8.0183e-05,0.010344,2.7218,-4.9357,-0.69624,0,0,0,6.8481,6.6991,6.5624,6.673,-0.49825,0.096453,-0.54489,-5.4041,15.978,20.057
0.73,-14.676,0.45779,4.0209,0.14247,0.2334,-0.47749,0.835,1.2779,-2.1914,-0.056497,0.032949,-0.022769,0.0095477,2.7166,-4.9339,-0.70069,0,0,0,6.8466,6.6996,6.5571,6.6644,-0.55038,0.25403,-0.34486,-5.0324,15.551,19.921
0.74,-14.663,0.43563,4.0203,0.14246,0.23321,-0.47776,0.8349,1.3051,-2.2408,-0.063518,0.029426,-0.044977,0.0087219,2.7108,-4.9306,-0.70315,0,0,0,6.845,6.7003,6.5528,6.6569,-0.5991,0.40773,-0.14703,-4.7214,15.199,19.618
0.75,-14.65,0.41298,4.0196,0.14238,0.23295,-0.47803,0.83483,1.3322,-2.2901,-0.070553,0.025838,-0.066689,0.0078709,2.7046,-4.9258,-0.70364,0,0,0,6.8434,6.7012,6.5495,6.6503,-0.64499,0.55824,0.047017,-4.4638,14.913,19.17
0.76,-14.636,0.38983,4.0188,0.14224,0.23261,-0.47832,0.83479,1.3592,-2.3393,-0.077584,0.022201,-0.08789,0.0069992,2.6979,-4.9195,-0.70222,0,0,0,6.8418,6.7023,6.5471,6.6447,-0.68853,0.70618,0.23596,-4.2527,14.684,18.6
0.77,-14.623,0.36619,4.018,0.14203,0.23218,-0.47862,0.83477,1.3861,-2.3884,-0.084592,0.018527,-0.10857,0.0061106,2.6908,-4.9117,-0.69894,0,0,0,6.8404,6.7036,6.5456,6.6399,-0.73017,0.85207,0.41868,-4.0807,14.502,17.929
0.78,-14.609,0.34206,4.0172,0.14176,0.23168,-0.47894,0.83477,1.413,-2.4375,-0.091557,0.014829,-0.12872,0.0052084,2.6833,-4.9024,-0.69387,0,0,0,6.839,6.7051,6.5449,6.636,-0.77025,0.99635,0.59428,-3.9407,14.359,17.179
0.79,-14.594,0.31744,4.0162,0.14142,0.23111,-0.47926,0.8348,1.4398,-2.4865,-0.098463,0.011113,-0.14834,0.0042954,2.6754,-4.8917,-0.68708,0,0,0,6.8378,6.7068,6.5448,6.6328,-0.80907,1.1394,0.76208,-3.8256,14.247,16.373
0.8,-14.58,0.29233,4.0152,0.14103,0.23046,-0.4796,0.83486,1.4665,-2.5353,-0.10529,0.0073884,-0.16742,0.0033739,2.6672,-4.8796,-0.67866,0,0,0,6.8369,6.7088,6.5454,6.6302,-0.84682,1.2814,0.92163,-3.7282,14.155,15.532
0.81,-14.565,0.26674,4.0141,0.14057,0.22975,-0.47994,0.83493,1.4931,-2.5841,-0.11203,0.0036587,-0.18596,0.0024457,2.6585,-4.8661,-0.66868,0,0,0,6.8361,6.711,6.5465,6.6282,-0.88367,1.4225,1.0727,-3.6413,14.076,14.678
0.82,-14.55,0.24065,4.0129,0.14005,0.22897,-0.4803,0.83503,1.5197,-2.6327,-0.11866,-7.3226e-05,-0.20398,0.001512,2.6495,-4.8512,-0.65723,0,0,0,6.8357,6.7134,6.5479,6.6266,-0.91966,1.5629,1.2152,-3.5578,13.999,13.834
0.83,-14.535,0.21408,4.0117,0.13947,0.22812,-0.48066,0.83515,1.5461,-2.6811,-0.12517,-0.003807,-0.22149,0.00057325,2.6401,-4.8349,-0.6444,0,0,0,6.8355,6.7162,6.5497,6.6255,-0.95481,1.7025,1.3495,-3.4715,13.919,13.018
0.84,-14.519,0.18703,4.0104,0.13883,0.22721,-0.48103,0.83529,1.5725,-2.7294,-0.13155,-0.0075435,-0.23848,-0.00037011,2.6304,-4.8171,-0.63027,0,0,0,6.8356,6.7191,6.5518,6.6247,-0.98908,1.8412,1.4757,-3.3812,13.832,12.234
0.85,-14.503,0.1595,4.0091,0.13814,0.22623,-0.4814,0.83546,1.5987,-2.7774,-0.13777,-0.011283,-0.25497,-0.0013178,2.6203,-4.798,-0.61492,0,0,0,6.836,6.7222,6.5541,6.6241,-1.0224,1.9791,1.5942,-3.287,13.74,11.481
0.86,-14.487,0.13148,4.0077,0.1374,0.2252,-0.48178,0.83564,1.6249,-2.8253,-0.14384,-0.015028,-0.27098,-0.0022696,2.61,-4.7776,-0.59841,0,0,0,6.8366,6.7255,6.5567,6.6239,-1.0548,2.116,1.7054,-3.1891,13.642,10.759
0.87,-14.471,0.10299,4.0062,0.1366,0.22411,-0.48217,0.83584,1.6509,-2.873,-0.14974,-0.018779,-0.2865,-0.0032252,2.5993,-4.7557,-0.58083,0,0,0,6.8374,6.729,6.5594,6.624,-1.0862,2.2519,1.8095,-3.0879,13.538,10.066
0.88,-14.454,0.074025,4.0047,0.13574,0.22297,-0.48255,0.83606,1.6768,-2.9204,-0.15545,-0.022536,-0.30156,-0.0041843,2.5882,-4.7325,-0.56224,0,0,0,6.8384,6.7325,6.5624,6.6242,-1.1166,2.3867,1.9068,-2.9835,13.429,9.4018
0.89,-14.437,0.044585,4.0031,0.13484,0.22177,-0.48295,0.8363,1.7027,-2.9676,-0.16098,-0.026301,-0.31617,-0.0051466,2.5769,-4.708,-0.54272,0,0,0,6.8395,6.7362,6.5654,6.6247,-1.1459,2.5205,1.9977,-2.8762,13.315,8.7654
0.9,-14.42,0.014674,4.0015,0.13389,0.22052,-0.48334,0.83656,1.7284,-3.0146,-0.16631,-0.030075,-0.33034,-0.0061118,2.5653,-4.6821,-0.52231,0,0,0,6.8408,6.7399,6.5686,6.6254,-1.1741,2.653,2.0822,-2.7662,13.197,8.1559
0.91,-14.403,-0.015705,3.9998,0.13288,0.21922,-0.48374,0.83683,1.754,-3.0613,-0.17142,-0.03386,-0.34407,-0.0070796,2.5534,-4.6549,-0.50109,0,0,0,6.8422,6.7436,6.572,6.6263,-1.2012,2.7844,2.1609,-2.6537,13.073,7.5726
0.92,-14.385,-0.04655,3.998,0.13183,0.21787,-0.48414,0.83712,1.7795,-3.1077,-0.17632,-0.037656,-0.35739,-0.0080496,2.5413,-4.6264,-0.47911,0,0,0,6.8436,6.7474,6.5754,6.6273,-1.2271,2.9145,2.2338,-2.5389,12.945,7.0145
0.93,-14.367,-0.077858,3.9963,0.13073,0.21647,-0.48454,0.83742,1.8048,-3.1538,-0.181,-0.041465,-0.37029,-0.0090215,2.5289,-4.5967,-0.45643,0,0,0,6.8452,6.7512,6.5789,6.6284,-1.2519,3.0433,2.3012,-2.4222,12.813,6.4808
0.94,-14.349,-0.10963,3.9944,0.12959,0.21503,-0.48493,0.83774,1.83,-3.1996,-0.18545,-0.045286,-0.3828,-0.009995,2.5163,-4.5656,-0.43311,0,0,0,6.8468,6.755,6.5824,6.6298,-1.2756,3.1707,2.3635,-2.3036,12.677,5.9706
